"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Wilderness_Area","Soil_Type","Class"
2789,27,8,0,0,3365,217,222,141,2874,"Rawah","7202","Spruce-Fir"
2988,322,11,404,157,5299,193,229,176,5098,"Rawah","7700","Lodgepole Pine"
3044,342,6,134,16,3401,208,231,162,1687,"Rawah","7745","Lodgepole Pine"
2991,165,18,150,-16,2490,233,243,134,1621,"Comanche Peak","7757","Lodgepole Pine"
3207,53,5,514,-13,5543,223,229,142,2102,"Rawah","7201","Spruce-Fir"
2787,317,24,175,60,2544,152,212,197,268,"Comanche Peak","7757","Lodgepole Pine"
3184,114,20,382,104,3318,250,215,83,511,"Comanche Peak","7757","Spruce-Fir"
2803,245,13,42,8,2160,192,250,195,3032,"Rawah","7746","Spruce-Fir"
3249,88,24,560,144,1144,247,192,60,2143,"Rawah","7745","Lodgepole Pine"
2643,30,4,150,0,1148,218,231,149,5941,"Rawah","4744","Lodgepole Pine"
3280,4,4,480,37,5883,215,232,155,757,"Rawah","7201","Spruce-Fir"
3109,45,9,210,3,3308,223,220,132,5199,"Rawah","7102","Spruce-Fir"
3049,44,19,0,0,4963,221,195,101,242,"Rawah","7746","Spruce-Fir"
2971,13,15,67,13,300,204,208,139,1500,"Comanche Peak","7700","Lodgepole Pine"
3011,190,9,636,101,1867,220,248,161,2250,"Comanche Peak","7756","Lodgepole Pine"
2947,33,12,313,27,5120,218,214,131,1976,"Rawah","7745","Lodgepole Pine"
2775,320,16,108,28,2227,177,223,186,646,"Comanche Peak","7755","Lodgepole Pine"
3518,296,28,201,84,2789,132,219,222,2236,"Rawah","8776","Spruce-Fir"
3308,32,9,604,172,1084,218,220,137,5370,"Neota","7700","Spruce-Fir"
2902,118,8,379,11,1782,234,233,130,1190,"Comanche Peak","7756","Lodgepole Pine"
3056,4,25,446,-3,1165,179,184,135,2095,"Comanche Peak","7757","Lodgepole Pine"
3236,206,12,175,21,3760,212,251,172,2779,"Rawah","7201","Spruce-Fir"
3112,86,21,175,14,5121,245,200,75,60,"Rawah","7746","Lodgepole Pine"
2886,273,20,190,65,713,164,241,215,1761,"Comanche Peak","4758","Spruce-Fir"
2926,18,8,430,13,4782,215,224,146,2955,"Rawah","7202","Spruce-Fir"
2986,359,10,30,-1,272,205,221,154,1387,"Comanche Peak","7700","Lodgepole Pine"
2913,135,1,190,4,4831,220,238,154,3463,"Rawah","3502","Lodgepole Pine"
2795,4,30,240,67,1061,167,169,127,1956,"Comanche Peak","7700","Lodgepole Pine"
2891,331,23,210,4,1824,161,205,180,2533,"Comanche Peak","7757","Lodgepole Pine"
2973,230,4,67,9,2092,214,243,166,1187,"Comanche Peak","7202","Spruce-Fir"
2959,274,13,492,56,5563,184,243,198,4436,"Rawah","7745","Lodgepole Pine"
3168,161,22,258,77,5106,236,239,121,1632,"Rawah","7745","Spruce-Fir"
3021,327,11,658,36,3994,193,228,174,4502,"Rawah","7745","Lodgepole Pine"
3062,323,7,60,9,2671,201,233,171,1816,"Comanche Peak","7102","Lodgepole Pine"
3122,77,3,499,-10,2779,224,233,145,616,"Comanche Peak","7756","Spruce-Fir"
2995,139,17,499,-3,5221,243,232,112,2970,"Rawah","7746","Lodgepole Pine"
2903,86,11,319,53,1690,236,221,115,2664,"Comanche Peak","7756","Spruce-Fir"
2714,355,3,335,4,932,215,234,157,1924,"Rawah","4744","Spruce-Fir"
2983,194,8,577,-37,1385,219,247,162,1577,"Comanche Peak","7755","Lodgepole Pine"
3187,354,17,458,120,4089,191,209,155,693,"Comanche Peak","7700","Spruce-Fir"
3024,15,5,256,27,2672,216,230,152,845,"Comanche Peak","7756","Spruce-Fir"
3145,221,16,297,57,2012,199,253,188,726,"Rawah","7745","Spruce-Fir"
2941,292,3,0,0,2107,212,238,165,459,"Comanche Peak","7756","Spruce-Fir"
2915,349,18,42,8,3810,184,207,160,2656,"Rawah","7745","Lodgepole Pine"
2978,352,10,60,12,4213,203,223,158,1131,"Rawah","7745","Lodgepole Pine"
3048,25,8,234,8,3214,216,223,143,1082,"Comanche Peak","7756","Lodgepole Pine"
2717,344,6,134,35,2670,208,230,161,742,"Comanche Peak","4703","Lodgepole Pine"
2576,133,18,201,53,780,246,228,103,67,"Rawah","7745","Lodgepole Pine"
3198,56,12,180,33,3271,228,214,117,2254,"Comanche Peak","7755","Spruce-Fir"
2952,293,14,212,26,1531,181,236,195,1291,"Rawah","7746","Lodgepole Pine"
2945,248,8,371,39,5527,202,247,182,5042,"Rawah","7745","Lodgepole Pine"
3139,2,13,469,-5,360,201,215,150,1931,"Neota","7757","Spruce-Fir"
3031,62,5,134,13,6491,224,230,142,3422,"Rawah","7745","Lodgepole Pine"
3262,7,13,134,-17,4269,204,214,146,3510,"Comanche Peak","7201","Spruce-Fir"
2903,72,7,324,33,4178,228,227,133,6317,"Rawah","4744","Lodgepole Pine"
2522,133,9,30,4,182,234,236,133,1426,"Rawah","4744","Lodgepole Pine"
3124,334,7,551,-53,912,204,231,166,1034,"Neota","7202","Spruce-Fir"
2933,145,18,192,30,3310,242,234,115,1323,"Rawah","7745","Lodgepole Pine"
2695,49,18,361,-52,1369,225,199,102,1716,"Rawah","7746","Lodgepole Pine"
3198,23,20,552,108,1595,204,193,119,2116,"Comanche Peak","7700","Spruce-Fir"
3103,116,24,212,78,3331,252,210,72,2227,"Comanche Peak","7757","Spruce-Fir"
3141,87,5,0,0,2448,227,231,138,2808,"Rawah","7202","Spruce-Fir"
2998,0,0,660,72,5382,218,238,156,6241,"Rawah","7745","Lodgepole Pine"
2912,300,14,30,9,2410,180,234,194,192,"Comanche Peak","7202","Lodgepole Pine"
3301,174,13,547,113,1065,227,246,148,2419,"Rawah","7745","Lodgepole Pine"
2949,190,10,30,-2,5406,220,248,161,2742,"Rawah","7202","Spruce-Fir"
3031,64,17,417,76,2995,233,202,95,6363,"Rawah","7745","Spruce-Fir"
3151,295,10,600,100,2934,192,237,185,277,"Comanche Peak","7756","Spruce-Fir"
3018,109,11,454,53,5389,239,228,119,6035,"Rawah","4744","Spruce-Fir"
2807,207,26,301,112,1456,192,253,183,1385,"Comanche Peak","7757","Lodgepole Pine"
3044,339,9,85,0,1712,200,227,166,1678,"Comanche Peak","7202","Spruce-Fir"
3150,165,16,192,9,2434,232,243,137,902,"Comanche Peak","7756","Lodgepole Pine"
3188,305,8,633,51,1986,199,236,176,573,"Comanche Peak","7202","Spruce-Fir"
2882,143,5,0,0,1201,227,239,145,1687,"Comanche Peak","7202","Lodgepole Pine"
2588,38,10,324,65,870,220,217,131,67,"Rawah","7745","Lodgepole Pine"
3112,143,15,892,74,2981,240,235,120,2629,"Comanche Peak","7757","Lodgepole Pine"
3307,329,31,306,85,742,132,188,186,1226,"Neota","7757","Spruce-Fir"
3092,6,17,218,-15,1332,196,204,142,350,"Comanche Peak","7700","Spruce-Fir"
2937,232,15,95,23,342,194,252,193,1328,"Comanche Peak","7756","Lodgepole Pine"
3268,144,9,0,0,3983,233,239,137,1047,"Rawah","8771","Spruce-Fir"
2630,143,17,90,-10,1503,242,234,114,5179,"Rawah","7745","Lodgepole Pine"
2715,72,9,30,-4,1284,231,223,125,700,"Comanche Peak","7755","Spruce-Fir"
3230,326,26,404,182,3066,148,202,188,3083,"Comanche Peak","7700","Spruce-Fir"
3257,36,11,876,76,1682,219,216,131,2591,"Neota","7202","Lodgepole Pine"
3264,13,12,660,61,1900,208,216,143,912,"Comanche Peak","7755","Spruce-Fir"
3216,215,4,201,20,6062,216,243,164,1556,"Rawah","7201","Spruce-Fir"
2686,84,14,150,26,1214,239,216,105,859,"Comanche Peak","7755","Lodgepole Pine"
2811,91,29,361,150,1717,249,181,39,1505,"Comanche Peak","4758","Lodgepole Pine"
3085,294,19,426,103,1170,162,231,208,2265,"Comanche Peak","7201","Spruce-Fir"
3200,97,13,335,24,1524,241,220,106,1550,"Comanche Peak","4758","Spruce-Fir"
3120,135,8,240,10,85,233,237,135,4872,"Neota","7201","Lodgepole Pine"
2596,68,16,190,44,1510,235,207,99,510,"Comanche Peak","4704","Lodgepole Pine"
3008,87,23,218,21,570,246,194,64,850,"Rawah","7745","Spruce-Fir"
